goreng || 12.628643221541278
minyak || 12.628643221541278
sabun || 12.628643221541278
ml || 10.601317681000456
aduk || 10.102914577233022
koh || 10.102914577233022
aduk || 10.102914577233022
lunak || 9.162907318741551
reaksi || 7.577185932924767
bekas || 7.577185932924767
menit || 7.330325854993241
lemak || 6.360790608600273
kinetika || 5.051457288616511
basa || 5.051457288616511
saponifikasi || 5.051457288616511
buat || 4.240527072400182
hidrolisis || 4.240527072400182
kali || 2.8542327112802917
kalium || 2.5257286443082556
garam || 2.5257286443082556
bahaya || 2.5257286443082556
limbah || 2.5257286443082556
butuh || 2.5257286443082556
ngaruh || 2.5257286443082556
optimum || 2.5257286443082556
pangan || 2.5257286443082556
ra || 2.5257286443082556
rumah || 2.5257286443082556
konsumsi || 2.5257286443082556
k || 2.5257286443082556
faktor || 2.5257286443082556
gliserol || 2.5257286443082556
6416a19025 || 2.5257286443082556
sehat || 2.5257286443082556
sempurna || 2.5257286443082556
tangga || 2.5257286443082556
data || 2.2788685663767296
proses || 2.2788685663767296
data || 2.2788685663767296
anfaat || 2.120263536200091
asam || 2.120263536200091
ilmiah || 2.120263536200091
a || 2.120263536200091
sakit || 2.120263536200091
cemar || 2.120263536200091
cepat || 2.120263536200091
olah || 2.120263536200091
variabel || 2.120263536200091
peroleh || 2.0433024950639624
konsentrasi || 1.8325814637483102
bahan || 1.8325814637483102
tambah || 1.8325814637483102
kondisi || 1.6094379124341003
sebab || 1.6094379124341003
lingkung || 1.6094379124341003
suhu || 1.6094379124341003
guna || 1.6094379124341003
laku || 1.6094379124341003
hasil || 0.3487067742895555
